average_per_theatre	gross	rank	production_budget	runtime	theaters	ratio	genre	Action	Drama	Comedy	Documentary	Foreign	Horror	Sci-Fi	Romance	Animation	release_year	actors	1	2	3	4	actors_sum	directors	dire_sum	distributor	dist_sum	G	GP	NC-17	Not Yet Rated	PG	PG-13	R	Unknown	Unrated
5046.03385106	15558228.2615	3.0	10000000.0	101.0	3083.0	1397	Thriller	0	0	0	0	0	1	0	0	0	4	Jennifer Lawrence,Elisabeth Shue,Max Thieriot	587417666	95452601	327130223	0	1010000491	Mark Tonderai	0	Relativity	422781728	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
7532.0202913	15064.0405826	62.0	0.0	104.0	2.0	0	Drama / Thriller	0	1	0	0	0	1	0	0	0	3	Clive Owen,Andrea Riseborough,Gillian Anderson	754063923	90670122	193350262	0	1038084308	James Marsh	3694255	Magnolia	116607889	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
7223.3752381	14446.7504762	84.0	0.0	98.0	2.0	0	Drama	0	1	0	0	0	0	0	0	0	10		0	0	0	0	0		0	Regent Releasing	3737940	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
8110.93688535	48665.6213121	50.0	0.0	109.0	6.0	2	Foreign	0	0	0	0	1	0	0	0	0	3		0	0	0	0	0		0	Music Box Films	44441904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
568.814372327	27878.0982299	70.0	0.0	97.0	49.0	2	Foreign	0	0	0	0	1	0	0	0	0	4		0	0	0	0	0		0	Music Box Films	43511912	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
8085.50118262	8085.50118262	95.0	0.0	90.0	1.0	0	Documentary	0	0	0	1	0	0	0	0	0	3		0	0	0	0	0		0	Fine Line Media	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
329.0	329.0	103.0	0.0	135.0	1.0	0	Documentary	0	0	0	1	0	0	0	0	0	1		0	0	0	0	0		0	Kino Lorber	7182907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
5438.96984692	12782797.7073	6.0	10200000.0	94.0	2350.0	734	Horror	0	0	0	0	0	1	0	0	0	9	Jay Hernandez	132590370	0	0	0	132590370	Eli Roth	82895388	Lionsgate	430124575	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
6803.24963771	102044.396747	43.0	0.0	86.0	15.0	7	Thriller	0	0	0	0	0	1	0	0	0	6		0	0	0	0	0		0	Screen Media	1226908	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
4628.88018974	4628.88018974	73.0	0.0	105.0	1.0	0	Foreign	0	0	0	0	1	0	0	0	0	5	Stellan Skarsgard	1998338419	0	0	0	1998338419		0	Strand	13003760	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
8641.29008145	8641.29008145	78.0	0.0	104.0	1.0	0	Foreign	0	0	0	0	1	0	0	0	0	6		0	0	0	0	0		0	Lorber Films	3179618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
2222.82241718	2681006.44334	12.0	80000000.0	103.0	1206.0	184	Documentary	0	0	0	1	0	0	0	0	0	6	Pierce Brosnan	1935732641	0	0	0	1935732641		0	Buena Vista	40195732150	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2199.67957177	35189.7860077	51.0	0.0	86.0	16.0	1	Documentary	0	0	0	1	0	0	0	0	0	3		0	0	0	0	0		0	Abramorama	3275514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
12629.5829625	25259.165925	52.0	0.0	107.0	2.0	1	Foreign	0	0	0	0	1	0	0	0	0	5		0	0	0	0	0		0	IFC	412061906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
7170.35361897	11129714.4435	4.0	0.0	91.0	1552.0	2490	Comedy	0	0	1	0	0	0	0	0	0	26	Lance Henriksen,Jordan Ladd,Joshua Leonard,Natasha Lyonne	456844840	0	0	0	456844840	William Butler	0	Orion Pictures	3081857039	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
3277.79462302	8327655.7817	4.0	0.0	108.0	2541.0	736	Romantic Comedy	0	0	1	0	0	0	0	1	0	10	Lindsay Lohan,Chris Pine	463318425	119412503	0	0	582730929		0	Fox	31904505878	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
11960.1881994	47841.9284772	55.0	0.0	118.0	4.0	3	Drama	0	1	0	0	0	0	0	0	0	10	Nicole Kidman,Robert Downey, Jr.,Ty Burrell	1591922053	1174884404	4247752131	344627788	7359186377		0	Picturehouse	30384658	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
3052.0	372403.0	28.0	0.0	119.0	122.0	17	Animation	0	0	0	0	0	0	0	0	1	0		0	0	0	0	0		0	FUNimation Films	8008363	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
4856.9057377	7315057.52929	5.0	40000000.0	120.0	1506.0	1674	Historical Drama	0	1	0	0	0	0	0	0	0	24	Marlon Brando,Benicio Del Toro,Catherine Zeta-Jones	534031066	96894034	0	0	630925100		0	Warner Bros.	12362727524	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
9244.83075647	9244.83075647	90.0	0.0	120.0	1.0	0	Documentary	0	0	0	1	0	0	0	0	0	7		0	0	0	0	0		0	Sky Island Films	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
9179.56119346	9334683.00289	8.0	0.0	93.0	1017.0	2528	Unknown	0	0	0	0	0	0	0	0	0	32		0	0	0	0	0		0	Universal	3911403434	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
