actors	assoc_producers	average_per_theatre	cinematographers	composers	directors	distributor	domestic	exec_producers	foreign	genre	gross	gross2	gross_to_date	line_producers	mpaa_rating	producers	production_budget	rank	release_date	runtime	theaters	theatre_change	title	week	week_number	week_over_week_change	worldwide	writers
		551.0				Music Box Films	29864.0		1556003.0	Foreign	27005.0	1971.0	27005.0		Unrated			70.0	2012-08-24	97.0	49.0		Hermano (2012)	2012-08-24	1.0		1585867.0	
		7947.0				Fine Line Media	38933.0			Documentary	7947.0	7389.0	7947.0		Unrated			95.0	2013-09-13	90.0	1.0		Herb and Dorothy 50x50 (2013)	2013-09-13	1.0			
		329.0				Kino Lorber	8025.0			Documentary	329.0	491.0	6296.0		Unrated			103.0	2015-07-17	135.0	1.0	-6.0	Steak (R)evolution (2015)	2015-09-04	8.0		8025.0	
Jay Hernandez		4758.0		Nathan Barr	Eli Roth	Lionsgate	17609452.0		18010069.0	Horror	11182366.0	4858505.0	11182366.0		R		10200000.0	6.0	2007-06-08	94.0	2350.0		Hostel Part II (2007)	2007-06-08	1.0		35619521.0	
		6259.0				Screen Media	225341.0		100693.0	Thriller	93881.0	30860.0	93881.0		R			43.0	2010-02-26	86.0	15.0		Formosa Betrayed (2010)	2010-02-26	1.0		326034.0	
Stellan Skarsgard		4393.0				Strand	37743.0		1787171.0	Foreign	4393.0	3041.0	4393.0		Unrated			73.0	2011-01-14	105.0	1.0		A Somewhat Gentle Man (2011)	2011-01-14	1.0		1824914.0	
		7950.0				Lorber Films	11662.0		545251.0	Foreign	7950.0	2347.0	7950.0		Unrated			78.0	2010-08-13	104.0	1.0		Salt of this Sea (2010)	2010-08-13	1.0		556913.0	
Pierce Brosnan		2045.0				Buena Vista	19422319.0		63229120.0	Documentary	2466530.0	8428742.0	2466530.0		G	Don Hahn	80000000.0	12.0	2010-04-22	103.0	1206.0		Oceans (2010)	2010-04-16	0.0		82651439.0	
		2162.0				Abramorama	66680.0			Documentary	34587.0	7691.0	34587.0		Unrated			51.0	2013-06-12	86.0	16.0		Pandora's Promise (2013)	2013-06-14	1.0			
		11986.0				IFC	157961.0		14617654.0	Foreign	23972.0	17734.0	23972.0		Unrated			52.0	2011-01-21	107.0	2.0		The Housemaid (2011)	2011-01-21	1.0		14775615.0	
