	actors	average_per_theatre	cinematographers	composers	directors	distributor	domestic	foreign	genre	gross	gross2	gross_to_date	mpaa_rating	producers	production_budget	rank	release_date	release_year	runtime	theaters	theatre_change	title	week	week_number	week_over_week_change	worldwide	writers
0	Billy Bob Thornton	3839.0		Stephen Trask		First Look	98129.6496979		Drama	18636.1139375	30536.7217307	15356.0	R			80.0	2005-04-08		120.0	4.0		Chrystal (2005)	2005-04-08	1.0			
1	Ethan Hawke,Robin Williams	75925.0			Peter Weir	Buena Vista	183229654.145	140000000.0	Drama	1160999.10309	24380075.1483	607399.0	PG			14.0	1989-06-02		128.0	8.0		Dead Poets Society (1989)	1989-06-02	1.0		235860116.0	
2	Penelope Cruz	10194.0				Oscilloscope Pictures	47258.0	1090163.0	Drama	10194.0	23478.0	10194.0	Not Yet Rated			68.0	2016-05-20		111.0	1.0		Ma ma (2016)	2016-05-20	1.0		1137421.0	
3		6295.0				MGM	17075675.593		Unknown	8913183.72415	5365417.60466	3745525.0	R			2.0	1983-03-11		103.0	595.0		10 to Midnight (1983)	1983-03-11	1.0			
4						Sony Classics	147394.86323		Unknown	4081.88509317	67654.903354	3050.0	PG-13			57.0	2001-07-06		112.0			The Vertical Ray of the Sun (2001)	2001-06-29	0.0		110134.0	
5		11561.0			George Hickenlooper	IDP	1890623.60907	571375.0	Drama	91385.2705447	172274.073947	69363.0	R	Paul Brooks		49.0	2002-09-27		106.0	6.0		The Man from Elysian Fields (2002)	2002-09-27	1.0		2006391.0	
6	Eddie Marsan	2153.0			Paddy Considine	Strand	23519.5162111		Drama	11341.9682136	1367.69553523	10764.0	Unrated			63.0	2011-11-18		91.0	5.0		Tyrannosaur (2011)	2011-11-18	1.0		22321.0	Paddy Considine
7	Amber Tamblyn,Sarah Michelle Gellar,Sarah Roemer,Teresa Palmer,Jenna Dewan-Tatum	7375.0		Christopher Young		Sony / Columbia	46020611.5489	31567336.0	Horror	27840329.5508	10623180.7105	23680202.0	PG-13	Doug Davison,Roy Lee,Sam Raimi	20000000.0	2.0	2006-10-13		95.0	3211.0		The Grudge 2 (2006)	2006-10-13	1.0		70711175.0	
8	Ashton Kutcher,Jennifer Garner	9078.0		David Kitay		Fox	64319146.3798	26450923.0	Comedy	26077480.2282	14917598.0978	18946076.0	PG-13	Broderick Johnson,Andrew A. Kosove	13000000.0	3.0	2000-12-15		83.0	2087.0		Dude, Where's My Car? (2000)	2000-12-15	1.0		73180723.0	
9	Amy Adams,James Marsden,Susan Sarandon	4025.0	Don Burgess	Alan Menken		Buena Vista	146099168.608	212680390.0	Family Adventure	16712388.2638	44555469.4255	14619964.0	PG	Barry Sonnenfeld	85000000.0	5.0	2007-11-21		107.0	3632.0		Enchanted (2007)	2007-11-16	0.0		340487652.0	
10	Patrick Stewart,Thomas Dekker	13473.0				Paramount	121021208.058	42400000.0	Sci-Fi Adventure	57296689.4931	30335402.8051	35825993.0	PG		35000000.0	1.0	1994-11-18		117.0	2659.0		Star Trek: Generations (1994)	1994-11-18	1.0		118071125.0	
11	Derek Luke,Michael Ealy,John Turturro,Joseph Gordon-Levitt,James Gandolfini,Kerry Washington,D.B. Sweeney	3876.0		Terence Blanchard	Spike Lee	Buena Vista	8717785.41864	1404716.0	War Drama	5056648.1546	2607248.64778	4593390.0	R	Jon Kilik	45000000.0	9.0	2008-09-26		166.0	1185.0		Miracle at St. Anna (2008)	2008-09-26	1.0		9323833.0	
12		7100.0				108 Pics	36984.6789574		Romantic Comedy	29924.9254242	6954.38407746	28400.0	PG-13				2011-04-22		93.0	4.0		When Harry Tries to Marry (2011)	2011-04-22	1.0			
13		7700.0				Net Effect	415521.290746		Unknown	289840.799365	87834.3094283	231000.0	Unrated			28.0	2004-05-21		160.0	30.0		Yuva (2004)	2004-05-21	1.0			
14		5427.0				First Run	44985.2658254		Documentary	11948.6608083	13607.646605	10854.0	Unrated			85.0	2008-09-12		95.0	2.0		Moving Midway (2008)	2008-09-12	1.0			
15		4744.0				Liberation Entertainment	17185.4195576		Drama	5222.44765749	3828.76748582	4744.0	Unrated			89.0	2008-11-14		83.0	1.0		Eden (2008) (2008)	2008-11-14	1.0			
16		4081.0				UTV Communications	529764.071844		Foreign	396300.84198	118455.43709	395831.0	Unrated			27.0	2014-02-21		132.0	97.0		Highway (2014) (2014)	2014-02-21	1.0		529136.0	
17	Julie Delpy	1959.0				Buena Vista	39237703.6067		Horror Comedy	4998620.59989	18059793.111	3384899.0	R		25000000.0	12.0	1997-12-25		98.0	1728.0		An American Werewolf in Paris (1997)	1997-12-19	0.0			
18	Henry Czerny,Bruno Ganz,Martin Landau,Dean Norris,Christopher Plummer	1914.0			Atom Egoyan	Entertainment One	1184564.0	802051.0	Drama / Thriller	51680.0	122273.0	51680.0	R			48.0	2015-10-16		95.0	27.0		Remember (2015)	2015-10-16	1.0		1986615.0	
19	Tom Hanks,Tom Sizemore,Edward Burns,Barry Pepper,Adam Goldberg,Vin Diesel,Giovanni Ribisi,Jeremy Davies,Matt Damon,Ted Danson,Paul Giamatti,Dennis Farina,Bryan Cranston	20203.0		John Williams	Steven Spielberg	DreamWorks	314870408.764	265300000.0	War	72356142.6142	53238114.3772	49760360.0	R	Ian Bryce,Mark Gordon,Allison Lyon Segan,Steven Spielberg	70000000.0	1.0	1998-07-24		170.0	2463.0		Saving Private Ryan (1998)	1998-07-24	1.0		481840909.0	
20	John Travolta,Bruce Willis	13229.0		David Kitay	Amy Heckerling	TriStar	267769598.313	156911000.0	Family Comedy	30546879.0256	34173845.0481	15981187.0	PG-13			1.0	1989-10-13		93.0	1208.0		Look Who's Talking (1989)	1989-10-13	1.0		296999813.0	
21		3795.0				Sony / Columbia	15176902.7322		Sci-Fi Action	8849877.60696	3624055.37287	6220607.0	R		45000000.0	8.0	1999-08-20		83.0	1639.0		Universal Soldier: The Return (1999)	1999-08-20	1.0			Dean Devlin
22		5404.0				Nocturnal Features	150871.044026		Horror	72523.3163062	44528.564675	70252.0	Unrated				2012-06-08		84.0	13.0		Deadly Renovations (2012)	2012-06-08	1.0			
23		2737.0				Fox	8433999.08759		Unknown	4895776.44062	2522323.66867	2263876.0	PG-13			9.0	1986-06-13		117.0	827.0		The Manhattan Project (1986)	1986-06-13	1.0			
24	Matt Dillon	3336.0				Warner Bros.	19875943.8418		Unknown	7972965.52117	5718717.98067	3619534.0	R			2.0	1985-11-08		117.0	1085.0		Target (1985)	1985-11-08	1.0			
25	Tori Spelling	2087.0				Regent Releasing	35263.6310734		Romantic Comedy	11488.5041639	6534.66469116	10436.0	R			87.0	2008-04-18		115.0	5.0		Kiss the Bride (2008)	2008-04-18	1.0			
26	Corey Haim,Charlie Sheen,Winona Ryder	2985.0			David Seltzer	Fox	17733023.7226		Unknown	4053384.28662	3709277.12385	1874342.0	PG-13			12.0	1986-03-28		100.0	628.0		Lucas (1986)	1986-03-28	1.0			David Seltzer
27		125.0				Regent Releasing	1039.30073413		Action	442.055515873	597.245218254	376.0	R			134.0	2006-04-21		90.0	3.0		In Her Line of Fire (2006)	2006-04-21	1.0			
28	Kevin Costner,Gene Hackman	7973.0			Roger Donaldson	Orion Pictures	74087664.7602		Romantic Thriller	13407135.7528	12201096.8643	6425913.0	R	Laura Ziskin		4.0	1987-08-14		114.0	806.0		No Way Out (1987)	1987-08-14	1.0			
29		2799.0				Cowboy	214154.543074		Unknown	3687.6630517	18896.8028405	2799.0	PG			89.0	2002-07-10		90.0	1.0		Ziggy Stardust (Re-issue) (2002)	2002-07-05	0.0			
30		2318.0				Columbia	10581887.821		Horror	6491444.08269	2628774.22546	3579624.0	R			7.0	1990-10-19		88.0	1544.0		Night of the Living Dead (1990)	1990-10-19	1.0			
31	Jack Black,Sean Penn,Susan Sarandon,Peter Sarsgaard	41787.0	Roger Deakins		Tim Robbins	Gramercy	61219492.6299		Drama	259950.416549	3618695.92824	167146.0	R	Tim Bevan,Eric Fellner,Jon Kilik		22.0	1995-12-29		122.0	4.0		Dead Man Walking (1995)	1995-12-29	1.0			
32		1506.0		John Frizzell		Roadside Attractions	606290.981877	708.0	Sports Drama	464318.531349	118615.111636	420280.0	PG-13			27.0	2009-10-09		98.0	279.0		From Mexico with Love (2009)	2009-10-09	1.0		549495.0	
33		3694.0				Buena Vista	36413526.771		Animation	11408160.2464	10615730.6278	5467823.0	G			3.0	1987-04-10		78.0	1480.0		The Aristocats (Re-issue) (1987) (1987)	1987-04-10	1.0			
34		5754.0				Magnolia	45070.7595054	9722448.0	Foreign	12713.8518577	2942.03923333	11508.0	PG-13			77.0	2009-05-15		113.0	2.0		Big Man Japan (2009)	2009-05-15	1.0		9763244.0	
35		19100.0				Future Educational Films	623395.498693		Documentary	19432.8768829	5180.74393128	131716.0	Unrated			61.0	2013-09-06		84.0	1.0		Walking the Camino: Six Ways to Santiago (2013)	2014-02-07	23.0		612717.0	
36		5590.0				7th Art	21625.5635906		Documentary	12778.9499619	6199.14532994	11179.0	Unrated			83.0	2007-11-09		94.0	2.0		Steal a Pencil for Me (2007)	2007-11-09	1.0			
37		34742.0			Chris Kentis	Lions Gate	38408125.5462	24057091.0	Horror	2048816.85572	1816865.16873	1632885.0	R	Laura Lau	500000.0	17.0	2004-08-06		79.0	47.0		Open Water (2004)	2004-08-06	1.0		54667954.0	Chris Kentis
38	Nicolas Cage,Adam Beach,Peter Stormare,Noah Emmerich,Mark Ruffalo,Brian Van Holt,Martin Henderson,Frances O'Connor,Christian Slater,Jason Isaacs	6918.0		James Horner	John Woo	MGM	53904000.3066	36714197.0	War	26414264.0468	12681823.17	20048883.0	R		115000000.0	3.0	2002-06-14		134.0	2898.0		Windtalkers (2002)	2002-06-14	1.0		77628265.0	
39		475.0				Magnolia	111386.051641		Documentary	6510.77866888	4057.77773974	92533.0	Unrated			89.0	2011-11-16		70.0	13.0		Steve Jobs: The Lost Interview (2011)	2012-05-11	9.0		105710.0	
40	Leonard Nimoy	13338.0		James Horner		Paramount	193820867.89		Sci-Fi Adventure	53105532.8808	35035848.0277	21621588.0	PG		11200000.0	1.0	1982-06-04		112.0	1621.0		Star Trek II: The Wrath of Khan (1982)	1982-06-04	1.0			
41	Emilia Clarke,Sam Claflin	10212.0				Warner Bros. (New Line)	52152534.0	60800000.0	Romance	27612578.0	14588276.0	27612578.0	PG-13		20000000.0	3.0	2016-06-03		110.0	2704.0		Me Before You (2016)	2016-06-03	1.0		112952534.0	
42	Matt LeBlanc	1244.0				Strand	31174.5205892		Unknown	27871.5655086	2808.89518621	21155.0	Unrated		15000000.0	80.0	2002-10-25		105.0	17.0		All the Queen's Men (2002)	2002-10-25	1.0			
43	Paul Rudd,Jessica Alba,Winona Ryder,Adam Brody,Gretchen Mol,Famke Janssen,Rob Corddry,Liev Schreiber,Oliver Platt,Justin Theroux,Ken Marino,Jon Hamm,Jason Sudeikis,Rashida Jones	7609.0		Craig Wedren	David Wain	ThinkFilm	879889.975702	15802.0	Comedy	217437.623048	193248.038994	190214.0	R	David Wain		38.0	2007-08-03		95.0	25.0		The Ten (2007)	2007-08-03	1.0		785528.0	David Wain
44	Matthew McConaughey,Woody Harrelson	6789.0	Elliot Davis			Anchor Bay Films	57389.6798651		Comedy	7473.69248455	49509.7725438	6788.0	R		6000000.0	98.0	2008-09-05		88.0	1.0		Surfer, Dude (2008)	2008-09-05	1.0		52132.0	
45		5422.0				Lorber Films	22843.6144301		Foreign	5990.13771051	2251.54936445	5422.0	Unrated			74.0	2009-07-03		98.0	1.0		Tony Manero (2009)	2009-07-03	1.0			
46		6556.0		Elmer Bernstein		Columbia	39213141.9227		Sci-Fi Adventure	20873706.4398	12401031.6605	8771612.0	PG	Don Carmody,Ivan Reitman	14400000.0	2.0	1983-05-20		90.0	1338.0		Spacehunter: Adventures in the Forbidden Zone (1983)	1983-05-20	1.0			
47		901.0				October	69263.708084		Documentary	1401.26192257	6325.11902231	901.0	Unrated			20.0	1995-04-26		83.0	1.0		Moving the Mountain (1995)	1995-04-21	0.0			
48		2795.0			Bruce Paltrow	Universal	5821962.78126		Romantic Comedy	3432205.10691	2389757.67435	1397401.0	R			12.0	1982-04-02		95.0	500.0		A Little Sex (1982)	1982-04-02	1.0			
49	Eric Bana				Andrew Dominik	First Look	316091.813354		Unknown	4231.77726708	31141.4374534	3162.0	Unrated			56.0	2001-04-11		94.0			Chopper (2001)	2001-04-06	0.0			Andrew Dominik
50	Bill Hader ,Anna Faris,James Caan,Will Forte,Andy Samberg,Benjamin Bratt,Neil Patrick Harris,Terry Crews,Kristen Schaal	9762.0		Mark Mothersbaugh		Sony / Columbia	121881342.349	154532382.0	Animation	39737410.8799	25211818.6883	39056726.0	PG		78000000.0	1.0	2013-09-27		95.0	4001.0		Cloudy with a Chance of Meatballs 2 (2013)	2013-09-27	1.0		274325949.0	John Francis Daley,Jonathan M. Goldstein,Erica Rivinoja
51		3042.0				Balcony Releasing	41394.4968769		Documentary	3306.51628022	17041.2762134	3042.0	Unrated			93.0	2010-11-24		85.0	1.0		The Legend of Pale Male (2010)	2010-11-19	0.0			
52	John Cusack	19240.0		Gabriel Yared		Miramax	4604003.55693		War Romance	189351.159031	140712.646221	115440.0	R	Tim Bevan		19.0	1993-04-23		109.0	6.0		Map of the Human Heart (1993)	1993-04-23	1.0			
53	Scarlett Johansson,Penelope Cruz,Rebecca Hall,Javier Bardem,Chris Messina	8044.0			Woody Allen	MGM (Weinstein)	25558188.7714	73192591.0	Comedy	6127870.8056	4642779.08542	5566474.0	PG-13			10.0	2008-08-15		96.0	692.0		Vicky Cristina Barcelona (2008)	2008-08-15	1.0		96409300.0	Woody Allen
54	Sean Bean,Jessica Chastain,Matt Damon,Jeff Daniels,Chiwetel Ejiofor,Donald Glover,Kate Mara,Michael Pena,Kristen Wiig	18718.0	Dariusz Wolski	Harry Gregson-Williams	Ridley Scott	Fox	228433663.0	401728227.0	Sci-Fi	71710329.0	50585329.0	71710329.0	PG-13	Mark Huffam,Simon Kinberg,Michael Schaefer,Ridley Scott,Aditya Sood	108000000.0	1.0	2015-10-02		141.0	3831.0		The Martian (2015)	2015-10-02	1.0		630161890.0	Drew Goddard
55		1125.0				Freestyle Releasing	14947.0		Horror Comedy	12372.0	646.0	12372.0	R			69.0	2015-03-20		76.0	11.0		Zombeavers (2015)	2015-03-20	1.0		14947.0	
56		18872.0				Rialto	30455.5747447		Foreign	20849.4796888	6180.16052243	18872.0	Unrated			69.0	2009-04-17		130.0	1.0		Leon Morin, Priest (2009)	2009-04-17	1.0			
57		1357.0				Eleven Arts	19620.2611728		Foreign	17660.9382603	1291.53119931	17640.0	Unrated				2014-12-05		104.0	13.0		Uzumasa Limelight (2014)	2014-12-05	1.0			
58		11462.0				7th Art	174343.873829		Documentary	13475.6391567	17096.7322123	11462.0	Unrated			84.0	2006-10-20		85.0	1.0		Jonestown: The Life and Death of Peoples Temple (2006)	2006-10-20	1.0			
59	Jackie Chan	5343.0			Stanley Tong	Miramax	24578768.6437		Action	11348916.2742	6066902.54707	7512731.0	R			7.0	1996-07-26		91.0	1406.0		Supercop (1996)	1996-07-26	1.0			
60		385.0				Doppelganger Releasing	6499.33076061		Horror Comedy	5091.21025769	744.757375825	5004.0	Unrated			83.0	2013-06-28			13.0		100 Bloody Acres (2013)	2013-06-28	1.0			
61		1405.0				Weinstein Company	49315.483449	13828480.0	Foreign	7253.1574954	27084.235703	7026.0	PG-13			72.0	2012-10-12			5.0		War of the Buttons (2012) (2012)	2012-10-12	1.0		13876251.0	
62	Robert DeNiro,Philip Seymour Hoffman	869.0	Declan Quinn		Joel Schumacher	MGM	6385700.3481		Comedy	591065.767431	2864606.52579	415462.0	R			27.0	1999-11-26		111.0	478.0		Flawless (1999) (1999)	1999-11-19	0.0			
63	Christian Bale,Wes Bentley,Cate Blanchett,Teresa Palmer,Freida Pinto,Imogen Poots,Natalie Portman	21398.0			Terrence Malick	Broad Green Pictures	566006.0		Drama	85591.0	142097.0	85591.0	R			42.0	2016-03-04		118.0	4.0		Knight of Cups (2016)	2016-03-04	1.0		566006.0	
64	Daniel Craig,Catherine McCormack,Romola Garai,Jonathan Pryce,Ian Holm	8272.0				Miramax	83054.7070833	1760704.0	Animation	19449.2670188	23816.9165972	16543.0	R		18000000.0	85.0	2006-09-22		105.0	2.0		Renaissance (2006)	2006-09-22	1.0		1831348.0	
65	James Caviezel,Chiwetel Ejiofor,Jaimie Alexander,Sam Shepard	1546.0				Ketchup Entertainment	37889.022781		Drama	22027.3185609	5165.48250965	21650.0	PG-13			63.0	2013-08-23		101.0	14.0		Savannah (2013)	2013-08-23	1.0			
66	Anna Kendrick,Jonah Hill	14426.0				Picturehouse	817266.376475	44733.0	Comedy	98943.9836213	204410.615823	86556.0	R		6000000.0	47.0	2007-08-10		98.0	6.0		Rocket Science (2007)	2007-08-10	1.0		759676.0	
67	Molly Shannon,Laura Dern,John C. Reilly,Peter Sarsgaard,Regina King	20258.0		Christophe Beck	Mike White	Paramount Vantage	1760567.56179	64027.0	Drama	162097.991005	202098.081985	141803.0	PG-13	Dede Gardner,Brad Pitt		39.0	2007-04-13		97.0	7.0		Year of the Dog (2007)	2007-04-13	1.0		1604168.0	Mike White
68		9637.0				Odeon	1139567.43091		Foreign	186202.616217	194812.51637	144552.0	Unrated			41.0	2003-09-05		115.0	15.0		Gaz Bar Blues (2003)	2003-09-05	1.0			
69		9052.0				Cinema Libre	12413.7800857		Documentary	9344.66006951	3069.1200162	9053.0	Unrated			76.0	2012-12-07			1.0		Lost Angels: Skid Row is My Home (2012)	2012-12-07	1.0			
70		24775.0				Full Moon Pictures	96160.1652893		Sci-Fi Comedy	26105.2826544	16574.6153846	24775.0	Unrated			60.0	2011-04-08		86.0	1.0		Evil Bong 3-D (2011)	2011-04-08	1.0			
71		36126.0				Orion Pictures	118561033.826		Music Drama	2060261.71799	1954564.45449	903147.0	PG			12.0	1984-09-21		158.0	25.0		Amadeus (1984)	1984-09-21	1.0			
72	Jeff Bridges,Ellen Barkin,John Hurt,Diane Lane,Christina Applegate	1745.0			Walter Hill	MGM	3412145.87726		Western	2102885.12038	1019935.16253	1352138.0	R		30000000.0	11.0	1995-12-01		115.0	775.0		Wild Bill (1995)	1995-12-01	1.0			
73	Anne Hathaway	10708.0				Excel	6317380.98988		Period Drama	343936.961304	206488.514472	557802.0	PG	Gerald R. Molen		28.0	2001-12-14		113.0	24.0		The Other Side of Heaven (2001)	2001-12-28	3.0		4720371.0	
74	Forest Whitaker,America Ferrera,Carlos Mencia,Regina King,Taye Diggs	6149.0			Rick Famuyiwa	Fox Searchlight	22016573.4342	1153747.0	Comedy	10726620.3343	5127617.62149	9868507.0	PG-13			6.0	2010-03-12		90.0	1605.0		Our Family Wedding (2010)	2010-03-12	1.0		21409028.0	
75		10952.0				Palm	737682.341772		Documentary	106331.190333	189594.182325	87616.0	PG-13			47.0	2005-03-04		85.0	8.0		Gunner Palace (2005)	2005-03-04	1.0			
76	Drew Barrymore	3023.0		Alan Silvestri		MGM	28825976.7014		Horror	9723527.70631	5993164.28238	4414247.0	PG-13			4.0	1985-04-12		93.0	1460.0		Cat's Eye (1985)	1985-04-12	1.0			
77		3167.0				Arenaplex	200949.195652		Documentary	110135.616848	52813.5706522	85500.0	PG			44.0	2003-11-07		88.0	27.0		Billabong Odyssey (2003)	2003-11-07	1.0		156000.0	
78		5551.0				Eros	813207.390128		Foreign	309898.817296	130745.276298	255354.0	Unrated			31.0	2005-02-25		149.0	46.0		Bewaafa (2005)	2005-02-25	1.0			
79		3667.0		Christopher Young		Fox	24253240.0794		Action	11323361.3178	5521007.77515	6702758.0	R			3.0	1992-08-21		95.0	1828.0		Rapid Fire (1992)	1992-08-21	1.0			
80	Daniel Radcliffe,Zoe Kazan,Adam Driver	10293.0			Michael Dowse	CBS Films	3497146.1079	4354000.0	Romantic Comedy	206099.344988	1348197.38098	205855.0	PG-13			34.0	2014-08-08		102.0	20.0		What If (2014) (2014)	2014-08-08	1.0		7847000.0	
81		3469.0				Empire Pictures	2726993.03832		Unknown	1425482.08733	888575.867974	659163.0	R			13.0	1986-10-24		85.0	190.0		From Beyond (1986)	1986-10-24	1.0			
82	Dennis Quaid	15583.0				Universal	108316423.945	42470000.0	Horror	48207734.7992	25929088.6747	20258000.0	PG			1.0	1983-07-22		99.0	1300.0		Jaws 3-D (1983)	1983-07-22	1.0		87987055.0	
83		4031.0				Warner Bros.	22421357.1413		Comedy	7817182.18272	5402151.26729	4627308.0	PG-13	Todd Black		7.0	1992-06-05		98.0	1148.0		Class Act (1992)	1992-06-05	1.0			
84	Liv Tyler,Scott Speedman	11499.0		tomandandy		Rogue Pictures	57902248.1311	29793535.0	Thriller	31216674.4802	14207540.0524	28356800.0	R	Doug Davison,Marc D. Evans,Roy Lee,Trevor Macy,Sonny Mallhi	9000000.0	3.0	2008-05-30		107.0	2466.0		The Strangers (2008)	2008-05-30	1.0		82391145.0	
85	Morgan Freeman	7206.0				Warner Bros.	60986871.03		Drama	12314290.8692	11216615.4451	6442458.0	PG-13			1.0	1989-03-03		109.0	894.0		Lean on Me (1989)	1989-03-03	1.0			
86	Sean Connery,Kevin Costner,Robert DeNiro	17991.0		Ennio Morricone	Brian De Palma	Paramount	159131991.159		Period Action	37986754.2319	21818685.4781	18206691.0	R			1.0	1987-06-05		119.0	1012.0		The Untouchables (1987)	1987-06-05	1.0			David Mamet
87		4390.0				Regent Releasing	12603.3734787		Foreign / Horror	9698.89689424	555.706246475	8779.0	Unrated			74.0	2009-08-14		91.0	2.0		Taxidermia (2009)	2009-08-14	1.0			
88	Christina Ricci,Martin Donovan,Lisa Kudrow	26127.0			Don Roos	Sony Classics	8552048.84809		Romantic Comedy	189958.21981	331618.773025	130637.0	R			13.0	1998-05-22		100.0	5.0		The Opposite of Sex (1998)	1998-05-22	1.0			Don Roos
89	Jay Hernandez	11463.0		Nathan Barr	Eli Roth	Lions Gate	55640767.1183	33252461.0	Horror	29581657.9442	15597020.0773	25161327.0	R		4800000.0	1.0	2006-01-06		95.0	2195.0		Hostel (2006)	2006-01-06	1.0		80578934.0	
90		2219.0				Atlas Distribution	3443910.87703		Drama	2318687.65381	896045.74471	2246071.0	PG-13			12.0	2012-10-12		112.0	1012.0		Atlas Shrugged: Part II (2012)	2012-10-12	1.0			
91		5824.0				First Run	8492.80576549		Documentary	7068.03383513	1235.44959549	5824.0	Unrated			94.0	2005-11-24		84.0	1.0		Aristide and Endless Revolution (2005)	2005-11-25	1.0			
92	Christian Bale,Mel Gibson	825560.0		Alan Menken		Buena Vista	220189062.055	204500000.0	Animation	7703610.82745	72971834.3833	4953359.0	G			8.0	1995-06-16		81.0	6.0		Pocahontas (1995)	1995-06-16	1.0		346079773.0	Susannah Grant
93		4069.0			Peter Hyams	TriStar	19717995.5167		Thriller	8352963.26928	4758030.13646	4606135.0	R			4.0	1990-09-21		99.0	1132.0		Narrow Margin (1990)	1990-09-21	1.0			
94	Sean Penn,Kevin Spacey,Robin Wright Penn,Chazz Palminteri,Garry Shandling,Anna Paquin,Meg Ryan	18250.0				Fine Line	2615710.88745		Drama	424589.054798	363569.53708	291996.0	R		15000000.0	18.0	1998-12-25		123.0	16.0		Hurlyburly (1998)	1998-12-25	1.0		1798862.0	
95		10929.0				Regent Releasing	16719.1716517		Foreign	13712.8575596	710.172694547	10929.0	Unrated			92.0	2004-09-03		100.0	1.0		Yes Nurse, No Nurse (2004)	2004-09-03	1.0			
96		2855.0		Michael Brook,Graeme Revell		Fine Line	17338.578101		Unknown	7857.89810105	9480.68	5709.0	R			60.0	2000-03-24		105.0	2.0		Buddy Boy (2000)	2000-03-24	1.0			
97		3167.0				Distrib Films	37134.0		Foreign	3167.0	4327.0	3167.0	Unrated				2015-03-06		90.0	1.0		The Mafia Only Kills in Summer (2015)	2015-03-06	1.0		37134.0	
98	Jon Voight	3394.0		Trevor Jones		Cannon Films	16925172.505		Action Thriller	7214213.74854	4892176.26217	4362938.0	R			9.0	1985-12-06		111.0	965.0		Runaway Train (1985)	1986-01-17	7.0			
99		8843.0				Warner Bros.	215588752.721	824289.0	IMAX	197540.031617	323472.948061	168022.0	G			40.0	2006-11-17		100.0	19.0		The Polar Express (IMAX re-issue 2006) (2006)	2006-11-17	1.0		184198024.0	
100	Eddie Murphy,Thandie Newton,Cuba Gooding, Jr.,Eddie Griffin	13419.0	J. Clark Mathis		Brian Robbins	Paramount (DreamWorks)	109366511.9	63639954.0	Romantic Comedy	48105022.5378	26127397.1039	42082178.0	PG-13	John Davis,Brian Robbins,Michael Tollin	60000000.0	1.0	2007-02-09		110.0	3136.0		Norbit (2007)	2007-02-09	1.0		159313561.0	Charles Q. Murphy,Eddie Murphy,David Ronn,Jay Scherick
101		14064.0				IFC	158180.173634	725753.0	Action Thriller	30572.7756127	43244.4938227	28122.0	Unrated		18000000.0	61.0	2010-10-15		140.0	2.0		Carlos (2010)	2010-10-15	1.0		871279.0	
102	Nicolas Cage,Tommy Lee Jones	3767.0				Buena Vista	26767236.5315		Action	13703437.9798	6481673.25181	7556586.0	PG-13	Bill Badalato,Arnold Kopelson		5.0	1990-05-25		87.0	2006.0		Fire Birds (1990)	1990-05-25	1.0			
103		6760.0				Buena Vista	28556265.0602		Animation	7834442.25523	7503101.53205	3292213.0	G			7.0	1983-03-25		79.0	487.0		The Sword in the Stone (Re-issue) (1983)	1983-03-25	1.0			
104	Ne-Yo,Chris Brown	13780.0				Sony / Screen Gems	70137586.3682	14154902.0	Music Drama	32308708.6027	16677773.416	28263594.0	PG-13	Rob Hardy,Will Packer	13000000.0	1.0	2007-01-12		115.0	2051.0		Stomp the Yard (2007)	2007-01-12	1.0		75511123.0	
105	Adelaide Clemens,Kit Harington,Carrie-Anne Moss,Sean Bean,Radha Mitchell,Malcolm McDowell	3612.0			Michael J. Bassett	Open Road Films	18095891.899	34773639.0	Horror	10937708.8542	4633217.07843	10595157.0	R	Don Carmody	20000000.0	5.0	2012-10-26		94.0	2933.0		Silent Hill: Revelation 3D (2012)	2012-10-26	1.0		52302796.0	Michael J. Bassett
106	Meg Ryan,John Cusack,Kelsey Grammer,Christopher Lloyd,Hank Azaria,Kirsten Dunst	137874.0			Don Bluth	Fox	86251072.5663	81398001.0	Animation	203604.248336	28553637.3501	137874.0	G			12.0	1997-11-14		94.0	1.0		Anastasia (1997)	1997-11-14	1.0		139804348.0	
107		9649.0			Garry Marshall	Fox	75375974.4106		Comedy	16802704.9533	11881711.3327	6841117.0	R	Jerry Bruckheimer		2.0	1982-07-16		92.0	709.0		Young Doctors in Love (1982)	1982-07-16	1.0			
108		623.0				New Love Films	45932.8891107		Documentary	712.16439988	2642.89581464	623.0	Unrated			118.0	2007-11-21		90.0	1.0		Yiddish Theater: A Love Story (2007)	2007-11-16	0.0			
109	Tim Robbins,Rhys Ifans,Hilary Duff	1854.0		Graeme Revell	Michel Gondry	Fine Line	929238.389305		Comedy	547191.754175	225096.322868	415328.0	R	Ted Hope		25.0	2002-04-12		96.0	224.0		Human Nature (2002)	2002-04-12	1.0		705308.0	Charlie Kaufman
110		13663.0				Well Go USA	337907.0		War Drama	177622.0	121469.0	177622.0	Unrated			31.0	2015-07-17		130.0	13.0		Northern Limit Line (2015)	2015-07-17	1.0		337907.0	
111						Cinema Guild	116484.830673		Unknown	3346.43235131	19704.4260812	2540.0	Unrated			122.0	2002-08-28		99.0			The Bank (2002)	2002-08-23	0.0		88414.0	
