	actors	average_per_theatre	cinematographers	composers	directors	distributor	domestic	foreign	genre	gross	gross2	gross_to_date	mpaa_rating	producers	production_budget	rank	release_date	release_year	runtime	theaters	theatre_change	title	week	week_number	week_over_week_change	worldwide	writers
851		2231.0				Music Box Films	10243.4662019		Documentary	4539.76422258	1993.14166563	4462.0	Unrated			102.0	2013-09-13		81.0	2.0		The Informant (2013)	2013-09-13	1.0			
852		2890.0				Category One	28449.7530442		Drama	21318.3482811	7131.40476307	20232.0	PG-13			71.0	2011-10-21		101.0	7.0		The Last Ride (2011)	2011-10-21	1.0			Howard Klausner
853	Laura Linney,Ben Kingsley,Joan Allen,Laurence Fishburne,William H. Macy	9673.0		James Horner	Steven Zaillian	Paramount	11918728.7163		Drama	3474547.84105	2230579.28892	2118296.0	PG	Sydney Pollack,Scott Rudin		13.0	1993-08-13		110.0	219.0		Searching for Bobby Fischer (1993)	1993-08-13	1.0			Steven Zaillian
854		3506.0				Microangelo Entertainment	9126.80045139		Comedy	4121.9325496	1261.50417163	3506.0	Unrated			107.0	2006-10-13		90.0	1.0		Zerophilia (2006)	2006-10-13	1.0			
855		4107.0		Jerry Goldsmith	Walter Hill	TriStar	23592880.8217		Unknown	9178059.7823	5656039.32273	4398957.0	R			2.0	1987-04-24		104.0	1071.0		Extreme Prejudice (1987)	1987-04-24	1.0			
856		2017.0				Buena Vista	82654996.5461	1230799.0	Animation	630504.872733	428930.94288	572742.0	PG			23.0	2008-10-24		76.0	284.0		Tim Burton's The Nightmare Before Christmas in 3-D (2008 re-issue) (2008)	2008-10-24	1.0		76313467.0	
857	Eddie Redmayne,Alicia Vikander,Matthias Schoenaerts,Ben Whishaw,Amber Heard	61433.0		Alexandre Desplat	Tom Hooper	Focus Features	11114018.0	53077505.0	Drama	245732.0	148534.0	245732.0	R			26.0	2015-11-27		120.0	4.0		The Danish Girl (2015)	2015-11-27	1.0		64191523.0	
858		1385.0				Indican	5010.0		Drama	2770.0	226.0	2770.0	Unrated			92.0	2015-08-28		112.0	2.0		A Reason (2015)	2015-08-28	1.0			
859	Clive Owen,Ian McKellen,Rachel Weisz,Jude Law,Paul Bettany			Philip Glass		Samuel Goldwyn	732550.878523		Unknown	53131.6800187	216664.54957	35979.0	NC-17			19.0	1997-11-26		108.0			Bent (1997)	1997-11-21	0.0			
860		4571.0				MGM	25406018.8082		Fantasy	10887399.6919	6833576.10082	4575136.0	PG			5.0	1983-08-26		98.0	1001.0		Hercules (1983) (1983)	1983-08-26	1.0			
861		4385.0				Zeitgeist	32447.1128639		Drama	5501.95629963	16292.5661461	4385.0	Unrated			93.0	2004-08-11		64.0	1.0		Cowards Bend the Knee (2004)	2004-08-06	0.0			
862		18702.0				Kino Lorber	58726.6244635		Foreign	18724.1988291	10624.5961915	18702.0	R			72.0	2014-08-29		111.0	1.0		The Conformist (2014 re-release) (2014)	2014-08-29	1.0		58657.0	
863	Jennifer Coolidge,Charlize Theron	2797.0	Gabriel Beristain			New Line	20087864.1441	995740.0	Comedy	9491572.44481	5444806.20995	6427376.0	PG-13	Mary Parent		4.0	1997-05-30		98.0	2298.0		Trial and Error (1997)	1997-05-30	1.0		14598571.0	
864	Fairuza Balk,Peter Bogdanovich,Chris Messina	4373.0				Magnolia	90662.9683237		Comedy / Drama	43321.8766157	25982.3376079	39353.0	R			56.0	2008-09-26		97.0	9.0		Humboldt County (2008)	2008-09-26	1.0			
865	Viggo Mortensen,Maria Bello,Ed Harris	54907.0		Howard Shore		New Line	38234171.0177	29236194.0	Crime Drama	932902.795535	13110547.4176	768704.0	R	Chris Bender,J.C. Spink	32000000.0	18.0	2005-09-23		96.0	14.0		A History of Violence (2005)	2005-09-23	1.0		60740827.0	
